,K,dominant_g,p_template_0,p_template_1,p_template_2,p_template_3,p_template_4,p_template_5
2024-12-16,5,1,0.0,0.9999948888184733,5.1111815266908345e-06,2.713979812756086e-23,0.0,4.612163138926671e-62
2024-12-17,5,1,0.0,0.999999999998565,1.4349483489513665e-12,6.290926822043933e-25,0.0,0.0
2024-12-18,5,1,0.0,0.9999999999888056,1.11944025778746e-11,3.3504947160863496e-26,0.0,0.0
2024-12-19,5,1,0.0,0.9896625537237913,0.01030513770992888,3.23085662798027e-05,0.0,0.0
2024-12-20,5,1,0.0,0.9999999999946816,2.2165780304532438e-91,5.318452400998113e-12,0.0,0.0
2024-12-23,3,1,0.0,0.9999999980188524,0.0,1.9811476063997107e-09,0.0,0.0
2024-12-24,3,1,0.0,0.9999999992103119,0.0,7.896881045685193e-10,0.0,0.0
2024-12-26,3,1,0.0,0.9999997178506341,2.8214936590284373e-07,0.0,0.0,0.0
2024-12-27,3,1,0.0,0.9999999981491828,0.0,1.850817121815134e-09,0.0,0.0
2024-12-30,3,1,0.0,0.9999999983169673,0.0,1.6830326729772046e-09,0.0,0.0
2024-12-31,6,1,0.0,0.999999999995858,2.6895274889537817e-14,4.115115941011298e-12,0.0,0.0
2025-01-02,6,1,0.0,0.9999999999357845,0.0,6.421556407409646e-11,0.0,1.202327608658086e-90
2025-01-03,6,1,0.0,0.9999999029784965,9.695207675152287e-08,6.942685813506804e-11,0.0,0.0
2025-01-06,6,1,0.0,0.9999999999999922,6.480537341028482e-15,1.3695131537593546e-15,0.0,0.0
2025-01-07,6,1,0.0,0.9999999999999828,2.623582290814915e-46,1.72589989375121e-14,0.0,0.0
2025-01-08,5,1,0.0,0.9999928884367912,7.111563208743868e-06,6.719425613052015e-39,0.0,0.0
2025-01-10,5,1,0.0,0.9999999209750939,0.0,7.902490602085321e-08,0.0,0.0
2025-01-13,5,1,0.0,0.9999930642996334,6.935700366391631e-06,1.61775879749869e-16,0.0,0.0
2025-01-14,5,1,0.0,0.9999999964491993,3.5508005754571723e-09,1.6428338970016405e-35,0.0,7.386283899562811e-208
2025-01-15,5,1,0.0,0.9999999916922259,8.307774118877105e-09,6.747934628767127e-34,0.0,1.0865440084170802e-208
2025-01-16,5,1,0.0,1.0,0.0,2.4183138999022308e-30,0.0,0.0
