,SPX,BOND,GOLD,OIL,USD
2016-02-02,0.1843997686410758,0.06610073204113949,0.34087709359871654,0.0,0.40862240571906827
2016-02-03,0.1843997686410758,0.06610073204113949,0.34087709359871654,0.0,0.40862240571906827
2016-02-04,2.7755575615628914e-17,0.06610073204113948,0.34087709359871654,4.911282908507898e-17,0.5930221743601438
2016-02-05,2.7755575615628914e-17,0.06610073204113948,0.34087709359871654,4.911282908507898e-17,0.5930221743601438
2016-02-08,0.1151769324571771,0.028288008317989725,0.304328663687356,4.679873507318024e-17,0.5522063955374772
2016-02-09,0.1151769324571771,0.028288008317989725,0.304328663687356,4.679873507318024e-17,0.5522063955374772
2016-02-10,0.1151769324571771,0.028288008317989725,0.304328663687356,4.679873507318024e-17,0.5522063955374772
2016-02-11,2.7755575615628914e-17,0.02828800831798971,0.304328663687356,1.3367827281474305e-18,0.6673833279946543
2016-02-12,2.7755575615628914e-17,0.02828800831798971,0.304328663687356,1.3367827281474305e-18,0.6673833279946543
2016-02-16,2.7755575615628914e-17,0.02828800831798971,0.304328663687356,1.3367827281474305e-18,0.6673833279946543
2016-02-17,2.4513171265534365e-17,4.336808689942018e-18,0.6039009626727796,0.1414360900098026,0.2546629473174178
2016-02-18,0.0,5.204170427930422e-17,0.6039009626727797,0.0,0.39609903732722035
2016-02-19,0.0,5.204170427930422e-17,0.6039009626727797,0.0,0.39609903732722035
2016-02-22,6.982127306007955e-18,5.88097725125572e-17,0.6039009626727797,0.17899671136973072,0.21710232595748957
2016-02-23,6.576434696950482e-18,5.702903427273753e-17,0.7828976740425104,0.0,0.21710232595748957
2016-02-24,6.576434696950482e-18,5.702903427273753e-17,0.7828976740425104,0.0,0.21710232595748957
2016-02-25,6.576434696950482e-18,5.702903427273753e-17,0.7828976740425104,0.0,0.21710232595748957
2016-02-26,6.576434696950482e-18,5.702903427273753e-17,0.7828976740425104,0.0,0.21710232595748957
2016-02-29,6.576434696950482e-18,5.702903427273753e-17,0.7828976740425104,0.0,0.21710232595748957
2016-03-01,0.7245623026048643,6.806079137777755e-17,0.058335371437645896,3.8353651851674726e-17,0.21710232595748968
2016-03-02,0.5429460516728831,7.071369856857801e-17,0.2399516223696271,0.0,0.21710232595748963
2016-03-03,0.5429460516728831,7.071369856857801e-17,0.2399516223696271,0.0,0.21710232595748963
2016-03-04,0.5429460516728831,7.071369856857801e-17,0.2399516223696271,0.0,0.21710232595748963
2016-03-07,0.5429460516728831,7.071369856857801e-17,0.2399516223696271,0.0,0.21710232595748963
2016-03-08,0.3226143709985709,5.015451487282163e-17,0.23995162236962714,1.0028870095490916e-18,0.437434006631802
2016-03-09,0.3226143709985709,5.015451487282163e-17,0.23995162236962714,1.0028870095490916e-18,0.437434006631802
2016-03-10,0.20081510234702693,0.12179926865154403,0.23995162236962714,6.938893903907228e-18,0.437434006631802
2016-03-11,0.20081510234702693,0.18349657781388123,3.838522762953328e-18,0.17825431320728993,0.437434006631802
2016-03-14,0.20081510234702693,0.18349657781388123,3.838522762953328e-18,0.17825431320728993,0.437434006631802
2016-03-15,0.20081510234702693,0.18349657781388123,3.838522762953328e-18,0.17825431320728993,0.437434006631802
2016-03-16,0.10595692369395757,0.18349657781388123,9.185030877693138e-18,0.2731124918603593,0.437434006631802
2016-03-17,1.2309708837897785e-17,0.18349657781388123,7.724116279233935e-18,0.14398133473862837,0.6725220874474904
2016-03-18,0.09457488782135852,0.18349657781388123,7.222672774459389e-18,0.04940644691726983,0.6725220874474904
2016-03-21,0.09457488782135853,0.18349657781388123,6.028356318830825e-18,0.2211829089875853,0.5007456253771749
2016-03-22,0.09457488782135853,0.18349657781388123,6.572501964346501e-18,0.4575075098237655,0.2644210245409948
2016-03-23,0.09457488782135853,0.18349657781388123,6.572501964346501e-18,0.4575075098237655,0.2644210245409948
2016-03-24,0.09457488782135853,0.18349657781388123,6.572501964346501e-18,0.4575075098237655,0.2644210245409948
2016-03-28,0.09457488782135853,0.18349657781388123,6.572501964346501e-18,0.4575075098237655,0.2644210245409948
2016-03-29,7.806255641895632e-18,0.18349657781388123,8.239462804542964e-18,0.552082397645124,0.2644210245409948
2016-03-30,7.806255641895632e-18,0.18349657781388123,8.239462804542964e-18,0.552082397645124,0.2644210245409948
2016-03-31,7.806255641895632e-18,0.18349657781388123,8.239462804542964e-18,0.552082397645124,0.2644210245409948
2016-04-01,6.945213379631111e-18,0.18349657781388123,4.7566926832363103e-07,0.6275029431797966,0.18900000333705375
2016-04-04,0.0,0.18349657781388132,4.756692683263511e-07,0.0,0.8165029465168503
2016-04-05,0.0,0.18349657781388132,0.1228595899884935,0.0,0.6936438321976253
2016-04-06,0.0,0.18349657781388132,0.1228595899884935,0.0,0.6936438321976253
2016-04-07,0.0,0.18349657781388132,0.1228595899884935,0.0,0.6936438321976253
2016-04-08,0.0,0.18349657781388132,0.1228595899884935,0.0,0.6936438321976253
2016-04-11,0.0,0.18349657781388132,0.1228595899884935,0.0,0.6936438321976253
2016-04-12,0.12285958998849342,0.18349657781388135,0.0,1.9020971863542568e-17,0.6936438321976253
2016-04-13,0.12285958998849342,0.18349657781388135,0.0,1.9020971863542568e-17,0.6936438321976253
2016-04-14,0.12285958998849342,0.18349657781388135,0.5674977846355025,1.214306433183765e-17,0.1261460475621228
2016-04-15,0.12285958998849342,0.18349657781388135,0.5674977846355025,1.214306433183765e-17,0.1261460475621228
2016-04-18,0.12285958998849342,0.18349657781388135,0.5674977846355025,1.214306433183765e-17,0.1261460475621228
2016-04-19,0.12285958998849342,0.044692597699578056,0.5674977846355025,0.26495002767642606,5.800463530959432e-18
